id,annual_risk,hourly_wage,age,sex,race,work_experience,union,blue_collar
6806,5.000000237487257e-4,4.60606050491333,37,1,1,1,0,1
6812,8.750000270083547e-4,1.7787610292434692,34,0,1,1,0,1
6822,0.0010000000474974513,9.280303001403809,48,1,1,1,1,1
6827,0.0012499999720603228,7.079646110534668,54,1,1,1,0,0
6829,0.0010000000474974513,7.840909004211426,29,1,1,1,1,1
6834,2.500000118743628e-4,10.619468688964844,38,1,1,1,1,1
6837,9.172499994747341e-4,11.504425048828125,31,1,1,0,0,1
6850,0.0010000000474974513,9.734513282775879,31,1,1,1,1,1
6854,7.50000006519258e-4,9.454545021057129,42,1,1,1,0,0
6884,9.172499994747341e-4,8.409090995788574,26,1,0,1,1,1
6917,2.500000118743628e-4,7.5757575035095215,61,1,1,1,1,1
6926,2.500000118743628e-4,4.696969509124756,65,1,1,1,0,1
6930,0.001500000013038516,9.090909004211426,58,1,1,1,1,1
6932,0.0010000000474974513,8.4848480224609375,62,1,1,1,0,1
6933,0.0010000000474974513,12.121212005615234,36,1,1,1,1,1
6950,0.0010000000474974513,7.5757575035095215,25,1,1,1,1,1
6974,0.0020000000949949026,10.833333015441895,37,1,1,1,1,1
6984,0.0020000000949949026,7.522727012634277,37,1,1,1,1,1
6992,0.001500000013038516,7.079646110534668,53,1,1,1,1,1
7017,0.0012499999720603228,5.796460151672363,52,1,1,1,0,1
7019,0.0010000000474974513,6.601769924163818,50,1,1,1,1,1
7029,2.500000118743628e-4,10.606060028076172,36,1,1,1,1,1
7037,2.500000118743628e-4,10.022726058959961,60,1,1,1,1,1
7038,0.0020000000949949026,7.878787040710449,42,1,1,1,1,1
7057,7.50000006519258e-4,7.5757575035095215,54,1,1,1,1,1
7068,0.0017500000540167093,10.619468688964844,41,1,1,1,1,1
7072,5.000000237487257e-4,8.560606002807617,32,1,1,1,1,1
7082,0.0010000000474974513,10.619468688964844,36,1,1,1,0,1
7084,2.500000118743628e-4,3.9772725105285645,29,0,1,0,0,1
7088,5.000000237487257e-4,5.984848499298096,25,1,1,1,1,1
7096,2.500000118743628e-4,7.5757575035095215,52,1,1,1,1,1
7097,0.001500000013038516,7.863636016845703,38,1,1,0,1,1
7105,0.0020000000949949026,9.469696998596191,34,1,1,1,1,1
7109,2.500000118743628e-4,4.35606050491333,61,0,1,0,0,1
7122,0.001500000013038516,8.333333015441895,33,1,1,1,1,1
7154,2.500000118743628e-4,3.0303030014038086,45,0,1,1,0,1
7187,2.500000118743628e-4,2.840909004211426,51,0,0,1,0,1
7206,2.500000118743628e-4,9.84848403930664,56,1,1,1,1,1
7220,2.500000118743628e-4,8.929203987121582,30,1,1,0,1,1
7238,7.50000006519258e-4,8.840909004211426,58,1,1,1,1,1
7246,0.0020000000949949026,11.061946868896484,35,1,1,1,1,1
7251,0.0017500000540167093,6.964601516723633,39,1,1,0,1,1
7258,7.50000006519258e-4,8.63636302947998,41,1,1,1,1,1
7263,0.0020000000949949026,13.469026565551758,30,1,1,1,1,1
7275,0.0010000000474974513,19.699115753173828,32,1,1,1,1,1
7300,2.500000118743628e-4,8.522727012634277,43,1,1,1,1,1
7310,0.0020000000949949026,9.454545021057129,59,1,1,1,1,1
7368,0.001500000013038516,8.849557876586914,30,1,1,1,1,1
7393,5.000000237487257e-4,3.499999761581421,31,1,1,1,0,1
7418,2.500000118743628e-4,3.0303030014038086,22,1,1,0,0,1
7442,2.500000118743628e-4,4.204545497894287,22,0,1,0,1,1
7461,5.000000237487257e-4,4.681818008422852,25,0,1,0,1,1
7465,5.000000237487257e-4,3.454545259475708,24,1,1,0,1,1
7477,2.500000118743628e-4,3.646017551422119,21,0,1,0,1,1
7510,0.0024999999441206455,6.462120532989502,36,1,1,1,1,1
7533,0.0010000000474974513,9.088496208190918,27,1,1,1,0,1
7540,0.0012499999720603228,8.333333015441895,27,1,1,1,0,1
7547,8.750000270083547e-4,3.454545259475708,33,0,1,1,0,1
7588,5.000000237487257e-4,7.4242424964904785,56,1,1,1,1,1
7590,0.0017500000540167093,9.545454025268555,30,0,1,1,1,1
7600,0.0012499999720603228,11.363636016845703,41,1,1,1,1,1
7614,7.50000006519258e-4,2.5663716793060303,30,1,1,1,0,0
7624,5.000000237487257e-4,7.52212381362915,41,1,1,1,0,1
